storm_id,fips,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
Fran-1996,51046,Winter Storm,0,0,0,0,NA,NA
Fran-1996,36030,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36028,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36026,Flood,0,0,0,0,1.00E+06,NA
Fran-1996,13026,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,13028,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,50005,Winter Storm,0,0,0,0,15000,NA
Fran-1996,36031,Winter Storm,0,0,0,0,10000,NA
Fran-1996,36035,Winter Storm,0,0,0,0,5000,NA
Fran-1996,50006,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36035,Winter Storm,0,0,0,0,15000,NA
Fran-1996,34001,Flood,0,0,0,0,6.00E+06,NA
Fran-1996,34007,Flood,0,0,0,0,3.47E+08,NA
Fran-1996,50002,Winter Storm,0,0,0,0,5000,NA
Fran-1996,51047,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,42013,Flash Flood,0,0,1,0,NA,NA
Fran-1996,13028,Winter Storm,0,0,0,0,NA,NA
Fran-1996,50012,Winter Storm,0,0,0,0,5000,NA
Fran-1996,50006,High Wind,0,0,0,0,50000,NA
Fran-1996,33011,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,50006,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36027,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36030,Winter Storm,0,0,0,0,5000,NA
Fran-1996,50007,High Wind,0,0,0,0,10000,NA
Fran-1996,50001,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36034,Winter Storm,0,0,0,0,5000,NA
Fran-1996,33012,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,42055,Thunderstorm Wind,0,0,0,0,5.00E+06,NA
Fran-1996,50004,Winter Storm,0,0,0,0,5000,NA
Marco-1996,48209,Winter Storm,0,0,0,0,NA,NA
Fran-1996,36034,Flood,0,0,0,0,1.00E+06,NA
Fran-1996,34001,Winter Storm,0,0,0,0,NA,NA
Fran-1996,25022,Heavy Snow,0,0,0,0,8.00E+06,NA
Fran-1996,50011,Winter Storm,0,0,0,0,10000,NA
Fran-1996,36057,Heavy Snow,0,0,0,0,4000,NA
Fran-1996,13017,Heavy Snow,0,0,0,0,NA,NA
Arthur-1996,39086,Heavy Snow,0,0,0,0,NA,NA
Arthur-1996,39087,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,25023,Heavy Snow,0,0,0,0,8.00E+06,NA
Fran-1996,25024,Heavy Snow,0,0,0,0,4.00E+06,NA
Fran-1996,56005,High Wind,0,0,0,0,50000,NA
Fran-1996,47056,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47061,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47062,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47063,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47064,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47065,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47075,Winter Storm,0,0,0,0,NA,NA
Fran-1996,50005,Winter Storm,0,0,0,0,10000,NA
Fran-1996,36020,Winter Storm,0,0,0,0,1.00E+06,NA
Fran-1996,36031,Winter Storm,0,0,0,0,5000,NA
Fran-1996,50002,Winter Storm,0,0,0,0,10000,NA
Fran-1996,50003,Winter Storm,0,0,0,0,10000,NA
Fran-1996,36029,Winter Storm,0,0,0,0,5000,NA
Fran-1996,33005,High Wind,0,0,0,0,NA,NA
Fran-1996,33007,High Wind,0,0,0,0,NA,NA
Fran-1996,33014,High Wind,0,0,0,0,NA,NA
Fran-1996,51045,Winter Storm,0,0,0,0,NA,NA
Fran-1996,50011,High Wind,0,0,0,0,20000,NA
Fran-1996,51058,Flood,0,0,0,0,NA,NA
Fran-1996,51046,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,50010,Winter Storm,0,0,0,0,5000,NA
Fran-1996,50011,Winter Storm,0,0,0,0,5000,NA
Fran-1996,47032,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47033,Winter Storm,0,0,0,0,NA,NA
Fran-1996,50004,Winter Storm,0,0,0,0,5000,NA
Fran-1996,50008,Winter Storm,0,0,0,0,5000,NA
Fran-1996,50007,Winter Storm,0,0,0,0,10000,NA
Fran-1996,51047,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,13018,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,36028,Flood,0,0,0,0,50000,NA
Fran-1996,36031,Flood,0,0,0,0,50000,NA
Fran-1996,13010,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,54037,Flash Flood,0,0,0,0,NA,NA
Fran-1996,17197,Thunderstorm Wind,0,0,0,0,45000,0
Fran-1996,13029,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,33003,High Wind,0,0,0,0,NA,NA
Fran-1996,13018,Winter Storm,0,0,0,0,NA,NA
Fran-1996,13026,Winter Storm,0,0,0,0,NA,NA
Fran-1996,50009,Winter Storm,0,0,0,0,10000,NA
Fran-1996,36030,Flood,0,0,0,0,1.00E+06,NA
Fran-1996,36028,Winter Storm,0,0,0,0,5000,NA
Fran-1996,51044,Flood,0,0,0,0,NA,NA
Fran-1996,34008,Winter Storm,0,0,0,0,NA,NA
Fran-1996,42070,Blizzard,0,0,1,0,1.45E+08,NA
Fran-1996,42069,Blizzard,0,0,0,0,1.95E+08,NA
Fran-1996,42068,Blizzard,0,0,1,0,2.69E+08,NA
Fran-1996,42067,Blizzard,0,0,0,0,2.18E+08,NA
Fran-1996,42060,Blizzard,0,0,0,0,4.50E+07,NA
Fran-1996,42061,Blizzard,0,0,1,0,2.20E+07,NA
Fran-1996,42062,Blizzard,0,0,0,0,1.00E+06,NA
Fran-1996,42054,Blizzard,0,0,0,0,1.00E+06,NA
Fran-1996,42055,Blizzard,0,0,0,0,1.00E+06,NA
Fran-1996,50009,Winter Storm,0,0,0,0,10000,NA
Fran-1996,36034,Winter Storm,0,0,0,0,15000,NA
Fran-1996,13029,Winter Storm,0,0,0,0,NA,NA
Fran-1996,36027,Winter Storm,0,0,0,0,5000,NA
Fran-1996,56002,High Wind,0,0,0,0,NA,NA
Fran-1996,56004,High Wind,0,0,0,0,15000,NA
Fran-1996,36027,Flood,0,0,0,0,1.00E+06,NA
Fran-1996,51175,Thunderstorm Wind,0,0,0,0,NA,NA
Fran-1996,36045,Heavy Snow,0,0,0,0,2000,NA
Fran-1996,36026,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36029,Winter Storm,0,0,0,0,5000,NA
Fran-1996,50012,Winter Storm,0,0,0,0,5000,NA
Fran-1996,50003,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36056,Heavy Snow,0,0,0,0,2000,NA
Fran-1996,47076,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47078,Winter Storm,1,0,0,0,5000,NA
Fran-1996,47079,Winter Storm,0,0,0,0,NA,NA
Fran-1996,33002,High Wind,0,0,0,0,NA,NA
Fran-1996,21073,Thunderstorm Wind,0,0,0,0,NA,NA
Fran-1996,9009,Thunderstorm Wind,0,0,0,0,NA,NA
Fran-1996,50010,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36035,Flood,0,0,0,0,50000,NA
Marco-1996,12021,Waterspout,0,0,0,0,NA,NA
Arthur-1996,39085,Heavy Snow,0,0,0,0,5000,NA
Fran-1996,42071,Blizzard,0,0,4,0,1.00E+06,NA
Arthur-1996,39076,Heavy Snow,0,0,0,0,NA,NA
Arthur-1996,39083,Heavy Snow,0,0,0,0,NA,NA
Arthur-1996,39084,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,50007,Winter Storm,0,0,0,0,10000,NA
Fran-1996,50008,Winter Storm,0,0,0,0,10000,NA
Fran-1996,50002,High Wind,1,0,0,0,50000,NA
Fran-1996,50011,Winter Storm,0,0,0,0,5000,NA
Fran-1996,50005,High Wind,0,0,0,0,50000,NA
Arthur-1996,37098,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,50019,Thunderstorm Wind,0,0,0,0,15000,NA
Fran-1996,36026,Winter Storm,0,0,0,0,5000,NA
Fran-1996,47080,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47081,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47082,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47093,Winter Storm,0,0,0,0,NA,NA
Fran-1996,47094,Winter Storm,0,0,0,0,NA,NA
Fran-1996,34008,Flood,0,0,0,0,2.00E+06,NA
Fran-1996,34009,Flood,1,0,0,0,8.00E+06,NA
Fran-1996,34010,Flood,0,0,0,0,2.50E+07,NA
Fran-1996,51023,Thunderstorm Wind,0,0,0,0,10000,NA
Fran-1996,34015,Flood,0,0,0,0,NA,NA
Fran-1996,34018,Flood,0,0,0,0,NA,NA
Fran-1996,50007,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36089,Thunderstorm Wind,0,0,0,0,10000,NA
Fran-1996,50009,High Wind,0,0,0,0,10000,NA
Fran-1996,50002,Winter Storm,0,0,0,0,5000,NA
Fran-1996,36029,Flood,0,0,0,0,50000,NA
Fran-1996,47097,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,25015,Heavy Snow,0,0,0,0,7.00E+06,NA
