YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
199910,2413023,5723139,1,,,FARWELL,41.33,-77.72,4120,7743
199910,2413024,5723140,2,5,NW,MIFFLINTOWN,40.6,-77.45,4036,7727
199909,2414394,5722740,1,,,,,,,
199909,2414394,5722741,1,,,,,,,
199909,2414394,5722742,1,,,,,,,
199909,2414394,5722743,1,,,COUNTYWIDE,,,,
199909,2414394,5722744,1,,,COUNTYWIDE,,,,
199909,2414394,5722745,1,,,COUNTYWIDE,,,,
199909,2414394,5722746,1,,,COUNTYWIDE,,,,
199909,2414394,5722747,1,,,COUNTYWIDE,,,,
199909,2414394,5722748,1,,,COUNTYWIDE,,,,
199909,2414394,5722749,1,,,COUNTYWIDE,,,,
199909,2414394,5722750,1,,,COUNTYWIDE,,,,
199909,2414394,5722751,1,,,COUNTYWIDE,,,,
199909,2414394,5722752,1,,,COUNTYWIDE,,,,
199909,2414394,5722753,1,,,,,,,
199909,2414394,5722754,1,,,,,,,
199909,2414394,5722755,1,,,,,,,
199909,2414395,5722756,1,,,COUNTYWIDE,,,,
199909,2414395,5722757,1,,,COUNTYWIDE,,,,
199910,2414410,5722252,1,,,,,,,
199909,2412964,5722152,1,,,,,,,
199909,2412967,5722163,1,,,BLACKSTONE,,,,
199909,2412967,5722164,1,,,BOSTON,,,,
199909,2414394,5722739,1,,,,,,,
199910,2414410,5722253,1,,,,,,,
199910,2414410,5722254,1,,,,,,,
199910,2414410,5722255,1,,,,,,,
199911,2413765,5722256,1,,,,,,,
199906,2408392,5706312,1,,,MEMPHIS,42.9,-82.75,4254,8245
199905,2410164,5704508,1,2,W,FREDERICK,34.38,-99.05,3423,9903
199906,2410226,5703942,1,,,HAYWARD,46.02,-91.48,4601,9129
199906,2409113,5703943,1,6,SE,SPOONER,45.77,-91.82,4546,9149
199906,2409114,5703944,1,6,S,HAYWARD,45.93,-91.48,4556,9129
199906,2409115,5703945,1,,,GLIDDEN,46.13,-90.57,4608,9034
199906,2410227,5703946,1,,,OGEMA,45.45,-90.3,4527,9018
199906,1082680,5706252,1,41,S,MERRIMAN,42.32,-101.7,4219,10142
199906,1082680,5706253,1,15,SSW,MULLEN,41.85,-101.15,4151,10109
199906,1082680,5706254,1,8,NE,THEDFORD,42.07,-100.47,4204,10028
199906,1082680,5706255,1,10,N,ELSMERE,42.22,-100.18,4213,10011
199906,1082680,5706256,1,11,S,JOHNSTOWN,42.4,-100.07,4224,10004
199907,2409867,5708983,1,1,S,OSLO,48.18,-97.13,4811,9708
199907,2409867,5708984,1,,,OSLO,48.2,-97.13,4812,9708
199907,2409870,5709254,1,,,WEBSTER,48.28,-98.87,4817,9852
199907,2409870,5709255,1,7,N,EGELAND,48.73,-99.1,4844,9906
199907,2409870,5709256,1,,,BROCKET,48.22,-98.35,4813,9821
199907,2409870,5709257,1,7,SW,BINFORD,47.5,-98.45,4730,9827
199906,2409258,5704190,1,3,S,AUBURN,39.53,-89.75,3932,8945
199906,2409240,5704180,1,,,,,,,
199906,2409059,5704334,1,10,NW,GRUVER,36.37,-101.53,3622,10132
199906,2409289,5704611,1,,,TOKIO,33.18,-102.58,3311,10235
199906,2409289,5704603,1,6,NW,SILVERTON,34.53,-101.37,3432,10122
199906,2409289,5704604,1,,,SILVERTON,34.47,-101.3,3428,10118
199906,2410225,5704587,1,9,SW,MEADE STATE PARK,37.07,-100.53,3704,10032
199906,2410225,5704578,2,1,SW,TICE,37.48,-100.73,3729,10044
199906,2410225,5704579,2,4,SE,SUBLETTE,37.45,-100.8,3727,10048
