"","storm_id","STATE_FIPS","EVENT_TYPE","CZ_FIPS","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"1","Floyd","25","Heavy Rain","11","0","0","0","0","",""
"2","Floyd","25","Heavy Rain","1","0","0","0","0","",""
"3","Floyd","25","Heavy Rain","15","0","0","0","0","",""
"4","Floyd","37","High Wind","87","0","0","0","0","",""
"5","Floyd","37","High Wind","99","0","0","0","0","",""
"6","Floyd","37","High Wind","96","0","0","0","0","",""
"7","Floyd","37","Hurricane (Typhoon)","97","0","0","0","0","22M","4M"
"8","Floyd","37","Hurricane (Typhoon)","101","0","0","0","0","37M",""
"9","Floyd","37","Hurricane (Typhoon)","100","0","0","0","0","50M",""
"10","Floyd","45","Hurricane (Typhoon)","34","0","0","0","0","",""
"11","Floyd","45","High Wind","17","0","0","0","0","",""
"12","Floyd","50","High Wind","9","0","0","0","0","50K","25K"
"13","Floyd","50","High Wind","11","0","0","0","0","100K",""
"14","Irene","12","Hurricane (Typhoon)","72","4","0","0","0","54M","33M"
"15","Irene","12","Hurricane (Typhoon)","74","0","0","0","0","140M","230M"
"16","Irene","12","Hurricane (Typhoon)","68","0","0","0","0","68M","75M"
"17","Dennis","37","Hurricane (Typhoon)","7","0","0","0","0","",""
"18","Floyd","37","Flash Flood","101","0","0","0","0","",""
"19","Dennis","37","Flash Flood","63","0","0","0","0","",""
"20","Dennis","37","Flash Flood","77","0","0","0","0","",""
"21","Dennis","37","Flash Flood","135","0","0","0","0","",""
"22","Harvey","12","Tropical Storm","60","0","0","0","0","100K","0"
"23","Harvey","12","Tropical Storm","65","0","0","0","0","0","0"
"24","Dennis","23","High Wind","30","0","0","0","0","",""
"25","Dennis","24","Lightning","1","0","0","0","0","5K",""
"26","Harvey","12","Tropical Storm","51","0","0","0","0","0","0"
"27","Dennis","23","High Wind","29","0","0","0","0","",""
"28","Harvey","12","Tropical Storm","55","0","0","0","0","0","0"
"29","Dennis","23","High Wind","1","0","0","0","0","",""
"30","Harvey","12","Tropical Storm","42","0","0","0","0","0","0"
"31","Dennis","23","High Wind","5","0","0","0","0","",""
"32","Dennis","23","High Wind","11","0","0","0","0","",""
"33","Dennis","24","Thunderstorm Wind","21","0","0","0","0","3K",""
"34","Dennis","24","Heavy Rain","31","0","0","0","0","",""
"35","Dennis","24","Thunderstorm Wind","31","0","0","0","0","3K",""
"36","Floyd","24","Flash Flood","25","15","0","0","0","2.6M",""
"37","Floyd","24","Flash Flood","5","0","0","0","0","10K",""
"38","Floyd","24","Flash Flood","510","0","0","0","0","50K",""
"39","Floyd","24","Flash Flood","13","0","0","0","0","",""
"40","Floyd","24","Flash Flood","27","0","0","0","0","",""
"41","Floyd","24","Flash Flood","9","0","0","0","0","500K",""
"42","Floyd","24","Flash Flood","3","0","0","0","0","2M",""
"43","Dennis","23","High Wind","16","0","0","0","0","",""
"44","Dennis","23","High Wind","6","0","0","0","0","",""
"45","Floyd","24","Storm Surge/Tide","9","0","0","0","0","",""
"46","Floyd","24","Storm Surge/Tide","37","0","0","0","0","",""
"47","Floyd","24","Tropical Storm","13","0","0","0","0","100K",""
"48","Floyd","24","Heavy Rain","21","0","0","0","0","",""
"49","Floyd","24","Heavy Rain","31","0","0","0","0","",""
"50","Floyd","24","High Wind","9","0","0","0","0","25K",""
"51","Floyd","24","High Wind","4","0","0","0","0","5K",""
"52","Floyd","24","High Wind","10","0","0","0","0","100K",""
"53","Floyd","24","Flash Flood","33","1","0","0","0","",""
"54","Floyd","24","Flash Flood","17","0","0","0","0","",""
"55","Floyd","24","Flash Flood","37","0","0","0","0","500K",""
"56","Floyd","24","High Wind","5","0","0","0","0","15K",""
"57","Floyd","24","High Wind","3","0","0","0","0","2K",""
"58","Harvey","12","Tropical Storm","50","0","0","0","0","0","0"
"59","Harvey","12","Tropical Storm","49","0","0","0","0","0","0"
"60","Dennis","23","High Wind","17","0","0","0","0","",""
"61","Dennis","23","High Wind","15","0","0","0","0","",""
"62","Harvey","12","Tropical Storm","62","0","0","0","0","0","0"
"63","Floyd","36","Flood","17","0","0","0","0","",""
"64","Floyd","36","Flash Flood","105","0","0","0","0","",""
"65","Floyd","50","Flash Flood","25","0","0","0","0","300K",""
"66","Dennis","23","High Wind","4","0","0","0","0","",""
"67","Floyd","50","Flash Flood","3","0","0","0","0","476K",""
"68","Floyd","12","Hurricane (Typhoon)","25","0","0","0","0","1M",""
"69","Floyd","24","Tropical Storm","11","0","0","0","0","400K",""
"70","Floyd","24","High Wind","6","0","0","0","0","400K",""
"71","Floyd","24","Tropical Storm","7","0","0","0","0","100K",""
